l_french:

 hold_court_lotr.1001.t:1 "La plus belle barbe"
 hold_court_lotr.1001.desc:1 "J'entends les cris de [dwarven_char_a.GetName] et [dwarven_char_b.GetName] à travers la cour. Tous mes courtisans prêtent attention alors que le duo s'approche de moi.\n\n"J'ai clairement la meilleure barbe et cet imbécile de chèvre ne l'accepte pas !" ils crient tous les deux en parfaite harmonie, devenant encore plus furieux l'un envers l'autre.\n\nIl semble que je sois maintenant appelé à décider quel nain a la meilleure barbe."
 hold_court_lotr.1001.a:1 "[dwarven_char_a.GetName] a clairement la barbe la plus fournie."
 hold_court_lotr.1001.b:1 "Je suis certain[ROOT.Char.Custom('FR_E)] que [dwarven_char_b.GetName] a la barbe la plus soyeuse."
 hold_court_lotr.1001.c:1 "Les deux ont des barbes magnifiques à leur manière."
 dwarven_yearly.1001.c.success:1 "Ils ont aimé mes arguments."
 dwarven_yearly.1001.c.failure:1 "Seul l'une peut être le meilleur."
 hold_court_lotr.1001.d:1 "J'ai la MEILLEURE barbe !"
 hold_court_lotr.1001.e:1 "Ils n'auront plus de barbe."
 hold_court_lotr.1001.b.befriend_reason:0 "sont devenus amis grâce à leurs barbes"
 hold_court_lotr.1001.a.befriend_reason:0 "$hold_court_lotr.1001.b.befriend_reason$"
